Variable,PropertyType,Success,BaseAvgBtu,TestAvgBtu,DiffAvgBtu,BasePeakBtu,TestPeakBtu,DiffPeakBtu
"Environment: Weather Data (Dry Bulb Temp)",WeatherTemperatureOffset,1,113415796.616692,113415796.616692,0,73464.993669604,73464.993669604,0
"Spaces: Entire Building (Heating Setpoint)",HeatingSetpoint,1,113415796.616692,113415796.616692,0,73464.993669604,73464.993669604,0
"Spaces: room 1 100 (100) (Heating Setpoint)",HeatingSetpoint,1,113415796.616692,127566706.222969,14150909.6062778,73464.993669604,75137.26057881,1672.266909206
"Windows: room 1 100 Windows (Infiltration)",Infiltration,1,113415796.616692,105131874.985153,-8283921.63153838,73464.993669604,75595.893409314,2130.89973971
"Doors: room 1 100 Doors (Infiltration)",Infiltration,1,113415796.616692,113415796.616692,0,73464.993669604,73464.993669604,0
"Spaces: room 2 101 (101) (Heating Setpoint)",HeatingSetpoint,1,113415796.616692,127538271.70936,14122475.0926684,73464.993669604,75168.689818772,1703.696149168
"Windows: room 2 101 Windows (Infiltration)",Infiltration,1,113415796.616692,105207700.354778,-8208096.26191333,73464.993669604,75604.355521474,2139.36185187
"Doors: room 2 101 Doors (Infiltration)",Infiltration,1,113415796.616692,113415796.616692,0,73464.993669604,73464.993669604,0
"Basic Wall: Exterior - CMU Insulated (R-Value)",RValue,1,113415796.616692,113415796.616692,0,73464.993669604,73464.993669604,0
"Floor: Generic - 12"" (R-Value)",RValue,1,113415796.616692,113415796.616692,0,73464.993669604,73464.993669604,0
"Basic Roof: Generic - 9"" (R-Value)",RValue,1,113415796.616692,113415796.616692,0,73464.993669604,73464.993669604,0
